comparison_id,variant_id,variant_label,variable,time_index,time_label,value,source_path
ex12_multi_method_moderate,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,accumulation_flux,0,2003-01-01,0.04035114496946335,C:\codes\HydroModPy-GH\examples\projects\launcher_simulation\results_reused_real_meshes\ex12_demo_mod_mf6_s60\results_simulations\ex12_demo_mod_mf6_s60\_postprocess\_timeseries\_simulated_timeseries.csv
ex12_multi_method_moderate,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,intermit_areas,0,2003-01-01,57.52777777777778,C:\codes\HydroModPy-GH\examples\projects\launcher_simulation\results_reused_real_meshes\ex12_demo_mod_mf6_s60\results_simulations\ex12_demo_mod_mf6_s60\_postprocess\_timeseries\_simulated_timeseries.csv
ex12_multi_method_moderate,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,outflow_drain,0,2003-01-01,1.8429440975506796e-08,C:\codes\HydroModPy-GH\examples\projects\launcher_simulation\results_reused_real_meshes\ex12_demo_mod_mf6_s60\results_simulations\ex12_demo_mod_mf6_s60\_postprocess\_timeseries\_simulated_timeseries.csv
ex12_multi_method_moderate,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,perenn_areas,0,2003-01-01,20.666666666666668,C:\codes\HydroModPy-GH\examples\projects\launcher_simulation\results_reused_real_meshes\ex12_demo_mod_mf6_s60\results_simulations\ex12_demo_mod_mf6_s60\_postprocess\_timeseries\_simulated_timeseries.csv
ex12_multi_method_moderate,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,recharge,0,2003-01-01,3.935185185185185e-08,C:\codes\HydroModPy-GH\examples\projects\launcher_simulation\results_reused_real_meshes\ex12_demo_mod_mf6_s60\results_simulations\ex12_demo_mod_mf6_s60\_postprocess\_timeseries\_simulated_timeseries.csv
ex12_multi_method_moderate,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,seepage_areas,0,2003-01-01,77.36111111111111,C:\codes\HydroModPy-GH\examples\projects\launcher_simulation\results_reused_real_meshes\ex12_demo_mod_mf6_s60\results_simulations\ex12_demo_mod_mf6_s60\_postprocess\_timeseries\_simulated_timeseries.csv
ex12_multi_method_moderate,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,total_areas,0,2003-01-01,78.19444444444444,C:\codes\HydroModPy-GH\examples\projects\launcher_simulation\results_reused_real_meshes\ex12_demo_mod_mf6_s60\results_simulations\ex12_demo_mod_mf6_s60\_postprocess\_timeseries\_simulated_timeseries.csv
ex12_multi_method_moderate,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,watertable_depth,0,2003-01-01,0.1573057930037932,C:\codes\HydroModPy-GH\examples\projects\launcher_simulation\results_reused_real_meshes\ex12_demo_mod_mf6_s60\results_simulations\ex12_demo_mod_mf6_s60\_postprocess\_timeseries\_simulated_timeseries.csv
ex12_multi_method_moderate,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,watertable_elevation,0,2003-01-01,123.55813388573539,C:\codes\HydroModPy-GH\examples\projects\launcher_simulation\results_reused_real_meshes\ex12_demo_mod_mf6_s60\results_simulations\ex12_demo_mod_mf6_s60\_postprocess\_timeseries\_simulated_timeseries.csv
ex12_multi_method_moderate,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,accumulation_flux,1,2003-02-01,0.07760076224803925,C:\codes\HydroModPy-GH\examples\projects\launcher_simulation\results_reused_real_meshes\ex12_demo_mod_mf6_s60\results_simulations\ex12_demo_mod_mf6_s60\_postprocess\_timeseries\_simulated_timeseries.csv
ex12_multi_method_moderate,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,intermit_areas,1,2003-02-01,79.16666666666666,C:\codes\HydroModPy-GH\examples\projects\launcher_simulation\results_reused_real_meshes\ex12_demo_mod_mf6_s60\results_simulations\ex12_demo_mod_mf6_s60\_postprocess\_timeseries\_simulated_timeseries.csv
