02/01/2000;00:00:00;19339670
03/01/2000;00:00:00;18786312
04/01/2000;00:00:00;18072456
05/01/2000;00:00:00;24567662
06/01/2000;00:00:00;18050248
07/01/2000;00:00:00;17585236
08/01/2000;00:00:00;15730186
09/01/2000;00:00:00;15196927
10/01/2000;00:00:00;13584827
11/01/2000;00:00:00;12634367
12/01/2000;00:00:00;12139733
13/01/2000;00:00:00;11580792
14/01/2000;00:00:00;15670960
15/01/2000;00:00:00;13675237
16/01/2000;00:00:00;11742047
17/01/2000;00:00:00;10544660
18/01/2000;00:00:00;10065432
19/01/2000;00:00:00;9860716
20/01/2000;00:00:00;9164059
21/01/2000;00:00:00;8783630
22/01/2000;00:00:00;8551269
23/01/2000;00:00:00;8390815
24/01/2000;00:00:00;8122384
25/01/2000;00:00:00;7883538
26/01/2000;00:00:00;7641646
27/01/2000;00:00:00;6854641
28/01/2000;00:00:00;6445807
29/01/2000;00:00:00;6352875
30/01/2000;00:00:00;6714617
31/01/2000;00:00:00;6402396
01/02/2000;00:00:00;6234594
02/02/2000;00:00:00;6126068
03/02/2000;00:00:00;6457859
04/02/2000;00:00:00;5631267
05/02/2000;00:00:00;5436183
06/02/2000;00:00:00;5294131
07/02/2000;00:00:00;5303334
08/02/2000;00:00:00;6278938
09/02/2000;00:00:00;10035475
10/02/2000;00:00:00;6747569
11/02/2000;00:00:00;7827754
12/02/2000;00:00:00;6617584
13/02/2000;00:00:00;6428064
14/02/2000;00:00:00;7811648
15/02/2000;00:00:00;6845896
16/02/2000;00:00:00;6561366
17/02/2000;00:00:00;6820031
18/02/2000;00:00:00;6801011
19/02/2000;00:00:00;6507195
20/02/2000;00:00:00;6017425
21/02/2000;00:00:00;5578786
22/02/2000;00:00:00;5452700
23/02/2000;00:00:00;5450871
24/02/2000;00:00:00;6070081
25/02/2000;00:00:00;5734542
26/02/2000;00:00:00;5558482
27/02/2000;00:00:00;5350718
28/02/2000;00:00:00;5319633
29/02/2000;00:00:00;7009748
01/03/2000;00:00:00;12716976
02/03/2000;00:00:00;8104666
03/03/2000;00:00:00;6857117
04/03/2000;00:00:00;7607381
05/03/2000;00:00:00;7520225
