datetime,value,quality
2022-01-01,32.32,Correcte
2022-01-02,32.33,Correcte
2022-01-03,32.33,Correcte
2022-01-04,32.33,Correcte
2022-01-05,32.33,Correcte
2022-01-06,32.33,Correcte
2022-01-07,32.34,Correcte
2022-01-08,32.35,Correcte
2022-01-09,32.34,Correcte
2022-01-10,32.34,Correcte
2022-01-11,32.35,Correcte
2022-01-12,32.35,Correcte
2022-01-13,32.36,Correcte
2022-01-14,32.37,Correcte
2022-01-15,32.38,Correcte
2022-01-16,32.39,Correcte
2022-01-17,32.39,Correcte
2022-01-18,32.4,Correcte
2022-01-19,32.41,Correcte
2022-01-20,32.41,Correcte
2022-01-21,32.41,Correcte
2022-01-22,32.42,Correcte
2022-01-23,32.43,Correcte
2022-01-24,32.43,Correcte
2022-01-25,32.43,Correcte
2022-01-26,32.43,Correcte
2022-01-27,32.43,Correcte
2022-01-28,32.43,Correcte
2022-01-29,32.43,Correcte
2022-01-30,32.43,Correcte
2022-01-31,32.43,Correcte
2022-02-01,32.43,Correcte
2022-02-02,32.43,Correcte
2022-02-03,32.43,Correcte
2022-02-04,32.43,Correcte
2022-02-05,32.42,Correcte
2022-02-06,32.42,Correcte
2022-02-07,32.41,Correcte
2022-02-08,32.4,Correcte
2022-02-09,32.4,Correcte
2022-02-10,32.4,Correcte
2022-02-11,32.39,Correcte
2022-02-12,32.39,Correcte
2022-02-13,32.43,Correcte
2022-02-14,32.44,Correcte
2022-02-15,32.41,Correcte
2022-02-16,32.42,Correcte
2022-02-17,32.4,Correcte
2022-02-18,32.41,Correcte
2022-02-19,32.39,Correcte
2022-02-20,32.39,Correcte
2022-02-21,32.39,Correcte
2022-02-22,32.38,Correcte
2022-02-23,32.38,Correcte
2022-02-24,32.38,Correcte
2022-02-25,32.37,Correcte
2022-02-26,32.37,Correcte
2022-02-27,32.37,Correcte
2022-02-28,32.36,Correcte
2022-03-01,32.36,Correcte
2022-03-02,32.37,Correcte
2022-03-03,32.38,Correcte
2022-03-04,32.37,Correcte
2022-03-05,32.36,Correcte
2022-03-06,32.36,Correcte
2022-03-07,32.37,Correcte
2022-03-08,32.37,Correcte
2022-03-09,32.36,Correcte
2022-03-10,32.36,Correcte
2022-03-11,32.38,Correcte
2022-03-12,32.37,Correcte
2022-03-13,32.37,Correcte
2022-03-14,32.35,Correcte
2022-03-15,32.35,Correcte
2022-03-16,32.35,Correcte
2022-03-17,32.34,Correcte
2022-03-18,32.33,Correcte
2022-03-19,32.33,Correcte
2022-03-20,32.34,Correcte
2022-03-21,32.33,Correcte
2022-03-22,32.32,Correcte
2022-03-23,32.32,Correcte
2022-03-24,32.32,Correcte
2022-03-25,32.32,Correcte
2022-03-26,32.31,Correcte
2022-03-27,32.31,Correcte
2022-03-28,32.31,Correcte
2022-03-29,32.32,Correcte
2022-03-30,32.31,Correcte
